Path,L1Path,L1Prescale(2e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(2e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL,L1_Mu5_EG15,1,L1_Mu5_EG15, 1,1,1,2.77,+/-,0.01,2.97,+/-,0.17,2.97,+/-,0.17,6.97%,+/-,5.48%
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,2.70,+/-,0.01,2.63,+/-,0.16,2.63,+/-,0.16,2.52%,+/-,5.94%
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20,L1_IsoEG20er_TauJet20er_NotWdEta0,1,L1_IsoEG20er_TauJet20er_NotWdEta0, 1,1,1,2.67,+/-,0.01,2.45,+/-,0.16,2.45,+/-,0.16,8.20%,+/-,5.47%
HLT_Mu30_TkMu11,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,2.66,+/-,0.01,2.46,+/-,0.16,2.46,+/-,0.16,7.40%,+/-,5.55%
HLT_DoubleMu4_3_Bs,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 60,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18, 1|1|1,1,1,2.61,+/-,0.01,2.64,+/-,0.16,2.64,+/-,0.16,1.24%,+/-,6.16%
HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,2.60,+/-,0.01,2.49,+/-,0.16,2.49,+/-,0.16,4.34%,+/-,5.88%
HLT_L2Mu10_NoVertex_NoBPTX,L1_SingleMuOpen OR L1_SingleMuOpen_NotBptxOR,262139 | 1,L1_SingleMuOpen_NotBptxOR, 1,30,30,2.60,+/-,0.01,77.99,+/-,0.89,2.60,+/-,0.03,0.18%,+/-,1.22%
HLT_Dimuon20_Jpsi,L1_DoubleMu_10_0_WdEta18,1,L1_DoubleMu_10_0_WdEta18, 1,1,1,2.58,+/-,0.01,2.39,+/-,0.16,2.39,+/-,0.16,7.49%,+/-,5.62%
HLT_PFMET100_PFMHT100_IDTight,L1_ETM70,1,L1_ETM70 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50, 1|1|1|1,1,1,2.56,+/-,0.01,2.46,+/-,0.16,2.46,+/-,0.16,4.00%,+/-,5.96%
HLT_VBF_DisplacedJet40_Hadronic_2PromptTrack,L1_TripleJet_92_76_64_VBF,1,L1_TripleJet_92_76_64_VBF OR L1_HTT175, 1|1,1,1,2.54,+/-,0.01,2.06,+/-,0.15,2.06,+/-,0.15,18.75%,+/-,4.68%
HLT_PFHT450_SixJet40,L1_HTT175,1,L1_HTT175, 1,1,1,2.48,+/-,0.01,2.16,+/-,0.15,2.16,+/-,0.15,12.77%,+/-,5.26%
